id_r,cue,resp_1,resp_2,resp_3,incorrect,gpt-oss:120b
219,Richard,WORD,Löwenherz,Wagner,v. Weitzäcker,von Weizsäcker
247,individuell,WORD,Tatoo,sich nach außen tragen,ausgeflipt,ausgeflippt
300,Wirkung,WORD,Drogen,Alkohol,Homoöpathie,Homöopathie
303,Anfang,WORD,Mut,Angst,Wise Guys,Wort
363,Teil,WORD,Gruppe,Ordung,Teil von etw. sein,Teil von etwas sein
431,Organisation,WORD,Beratung,Verein,Organisations Entwicklung Entwicklung,Organisationsentwicklung
609,Argument,WORD,Gespräch,Rhetorik,Diskussoin,Diskussion
627,John,WORD,Johnny,präkerer Vorname,Cranko Academie,Cranko Academy
642,Mensch,WORD,ärgere dich nicht,Werdung,Homo sapiens,Homo sapiens
661,Marketing,WORD,TV,teuer,Werbungh,Werbung
663,Maß,WORD,Band,maßvoll,Bier ;),Bier
722,Steuerung,WORD,Auto,Handy,Nitendo,Nintendo
858,Gesellschaft,WORD,Regeln,Ausdifferenzierung,"Theorien, Rousseau",Theorien
869,überwiegend,WORD,zum größeren Teil,schwer,meintens,meistens
891,sichtbar,WORD,sehen,erkennbar,visible,visible
1353,Gesundheit,WORD,Arzt,Medikamente,hatschi,Niesen
1372,stellen,WORD,Möbel,absetzen,Representant,Repräsentant
1476,Soziologie,WORD,gesellschaftliche Strukturen,Meso Ebene,Laberfach,Lehrfach
1509,Seele,WORD,Geist,NA,Korper,Körper
1553,Oktober,WORD,bunte Blätter,Wind,Montat,Monat
1554,Tendenz,WORD,Vermutung,Annahme,Rcihtung,Richtung
1752,frei,WORD,Vogel,Möglichkeiten,unbeschwerd,unbeschwert
1766,Hause,WORD,Unknown,Unknown,Word unknown,Word
2019,Bedeutung,WORD,NA,NA,meaning,meaning
2025,Anforderung,WORD,fordern,benötigen,requis,Erfordernis
2099,Instrument,WORD,questionaire,Method,Reschersche,Recherche
2103,plötzlich,WORD,aus dem Himmel,ungewusst,unversehens,unversehens
2147,Unterscheidung,WORD,anders,verschieden,Differentation,Differentiation
2225,Qualität,WORD,Sicherung,Kleidung,Managament,Management
2241,erwähnen,WORD,mündlich,Wörter,beiäufig,häufig
2275,erkennen,WORD,sehen,Gehirn,erinneren,erinneren
2328,Arbeiter,WORD,Brotwerwerb,NA,Proletatier,Proletär
2388,beobachten,WORD,wahrnehmen,untersuchen,Ereignise,Ereignisse
2394,Kommission,WORD,Ausschuss,Komitee,Abortnung,Abordnung
2427,Zeitschrift,WORD,"PM, Neon etc",Psychologie heute - wann kommt die neue raus,"Promis, uninteressant","Promis, uninteressant"
2431,hören,WORD,Musik,laut,"sehen, fühlen, riechen",sehen
2526,Gesicht,WORD,Merkmal,Persönlichkeit,Anlitz,Antlitz
2550,August,WORD,Geburtstag,Laubblätter,Red Hot Chili Peppers,Red Hot Chili Peppers
2569,Phase,WORD,Zeitraum,NA,Abschnit,Abschnitt
2611,nötig,WORD,Harndrang,wichtig,überlebenswichtig,überlebenswichtig
2637,Verfügung,WORD,Gericht,Erlaubnis,Machr,Macht
2717,Hinsicht,WORD,Art und weise,Tellerrand,draufblick,Durchblick
2779,Jude,WORD,Israel,Cartman,Michal Negrin,Michal Negrin
2783,aktiv,WORD,Bewegung,dabei,flegmatisch,phlegmatisch
2851,Rom,WORD,teuer,voll,Collosseum,Kolosseum
2983,Großbritannien,WORD,Meer,nettleham,bakedbeans,baked beans
2984,zitieren,WORD,Guttenberg,Medien,zitierrichtlinien,Zitierrichtlinien
2997,unabhängig,WORD,frei sein,NA,eits Erklärung,eigene Erklärung
3016,nennen,WORD,aufzählen,sagen,benamen,benamen
3078,Fähigkeit,WORD,ausbauen,Üben,Vertigkeit,Fertigkeit
3112,Oxford,WORD,Wörterbuch,England,Universiät,Universität
3221,Berücksichtigung,WORD,tiefgründig,sozial,vorrausschauend,vorausschauend
3298,kulturell,WORD,gebildet,tolerant,intelektuell,intellektuell
3360,Vermittlung,WORD,durchstellen,helfen,rüberbringen,rüberbringen
3379,Frankreich,WORD,Paris,Eifelturm,Baguett,Baguette
3487,bezeichnen,WORD,Name,Umschreibung,nummerrieren,nummerieren
3565,Paris,WORD,Eifelturm,Baguette,Luvre,Louvre
3628,Vorschlag,WORD,gerecht,wichtig,diskusion,Diskussion
3629,Revolution,WORD,Chaos,friedliche,viva la,Viva la
3663,Leser,WORD,prädiger,Interessent,retoriker,Rhetoriker
3744,Punkt,WORD,NA,für Punkt,"komma, strich",Komma
3801,Interesse,WORD,Hobbys,reden,Einfühlsamkeit,Einfühlsamkeit
3810,erfahren,WORD,bewandert,versiert,ausgebufft,ausgebildet
3827,wichtig,WORD,eilig,unbedingt,auffälig,auffällig
3851,Personal,WORD,Teeküche,Chef,Peronalrat,Personalrat
3856,leisten,WORD,Leistung,Dienstleistungsgesellschaft,sich belonen,sich belohnen
4056,notwendig,WORD,Anleitung,verhalten,keit,Notwendigkeit
4063,Gebiet,WORD,Fläche,Einfluss,Hohheits,Hoheitsgebiet
4158,Klasse,WORD,arm,reich,Gesellschafft,Gesellschaft
4169,religiös,WORD,katholisch,orthodox,sakulär,säkular
4220,Jahrhundert,WORD,Zeitrechnung,einundzwanzigstes,Kalendar,Kalender
4239,Rechnung,WORD,hoch,begleichen,bzeahlen,bezahlen
4453,Jude,WORD,Holocaust,Israel,Ausschwitz,Auschwitz
4458,Vorteil,WORD,überrumpeln,ausspielen,Voteilsnahme,Vorteilsnahme
4643,Forschung,WORD,Uni,Medizin,Microskop,Mikroskop
4715,Ressource,WORD,Energie,Rohstoffe,Wassr,Wasser
4854,Internet,WORD,WLAN,ich,high speed,high speed
4922,ursprünglich,WORD,natürlich,rückständig,Ausggangszustand,Ausgangszustand
4987,erfüllen,WORD,schön,Zeit,Berdürfnis,Bedürfnis
5060,vergessen,WORD,verdödeln,entfallen,verpeilen,verpeilen
5114,Opfer,WORD,Gewalt,Straßenbahn,Nazionalsozialismus,Nationalsozialismus
5506,lokal,WORD,Stadtviertel,Lebensmittel,Lokal/Bar,Bar
5553,Methode,WORD,Schule,NA,Metohodik,Methodik
5578,Widerspruch,WORD,Meinungen,NA,Conflikt,Konflikt
5595,Stellung,WORD,beziehen,Position,nahme,Stellungnahme
5642,Verhalten,WORD,gutes,NA,schelchtes,schlechtes
5743,Handlung,WORD,Theater,aktiv,unternehmenslustig,unternehmungslustig
5861,Charakter,WORD,Merkmale,Eigenschaften,Big Five,Big Five
5919,Richard,WORD,King,Wagner,Weitzäcker,WORD
5953,arbeiten,WORD,hart,Job,Fließenleger,Fliesenleger
5955,USA,WORD,günstiges FastFood,Obama,Breaking Bad,Breaking Bad
5969,Spiegel,WORD,NA,NA,Spieglein,Spieglein
6110,Theorie,WORD,Albert Einstein,Gedankenblase,The Big Bang Theory,The Big Bang Theory
6380,Management,WORD,Kostüm,NA,Buisness,Business
6499,Beratung,WORD,Lebensberatung,Beratungshonorar,beratungsresistent,beratungsresistent
6506,Wirklichkeit,WORD,realitätsnah,falsch,wirklichkeitsfern,wirklichkeitsfern
6509,Grad,WORD,bogen,maß,gradwanderung,Gradwanderung
6581,Jude,WORD,Religion,Witze,Bar Mizwar,Bar Mizwa
6682,Ressource,WORD,Quelle,Rohstoffe,Human Resources,Human Resources
6748,allgemein,WORD,General,gültig,überindividuell,überindividuell
6749,Gesundheit,WORD,Krankenkasse,Geburtstag,hatschi,Hatschi
6765,übernehmen,WORD,überfordern,übersetzen,Verwantwortung,Verantwortung
6987,Software,WORD,Hardware,maintenance,Open source,Open source
6990,Erfolg,WORD,Geheimnis,Geld,Gewinnertreppchen,Gewinnertreppchen
6993,erkennen,WORD,einsehen,Sex,vestehen,verstehen
7010,Interpretation,WORD,herauslesen,Umberto Eco,hineinlesen,hineinlesen
7021,Rolle,WORD,Habitus,rundes Gebäckstück,Fadenaufbewahrung,Spule
7024,Rahmenbedingung,WORD,Möglichkeit,Fenster,Politikersprech,Politikersprech
7042,Georg,WORD,George (W.) Bush,Georgien,"St Georg, Drachentöter","St. Georg, Drachentöter"
7045,Carl,WORD,Name,Geschichte,von Ossietzki,von Ossietzky
7053,Minute,WORD,Unterteilung des Längengrades,klein,60tel einer Stunde,60tel einer Stunde
7089,praktisch,WORD,Praxis,Übung,theorisch,WORD
