id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,llama4:latest,gpt-oss:120b
73315,Schleifpapier,Oberflächen bearbeiten,WORD,entgraten,fein/grobkörnig,fein,feinkörnig/grobkörnig,fein
262581,Dorf,klein,weniger Menschen,WORD,Dorfsmuseum,Dorfmuseum,Dorfsmuseum,Dorfsmuseum
129350,Schau,Ereignis,besonders,WORD,Erinnerunh,Erinnerung,Erinnerung,Erinnerung
278002,innen,AUSSEN,WORD,drinnen,internal,internal,innen,internal
227314,Entscheidungen,falsch,richtig,WORD,unwiederuflich,unwiderruflich,unwiderruflich,unwiderruflich
111794,Rum,WORD,Brasilien,Seefahrer,Rumkugeln,Rumkugeln,Rumkugeln,Rumkugeln
126835,Panflöte,Pan,Fußgängerzone,WORD,El Condor pasa,El Condor Pasa,El Condor Pasa,El Condor pasa
212421,Niere,Urin,WORD,NA,Saure nierndln,Saure Nieren,Saure Nierchen,Saure Nieren
291522,Oberfläche,flach,sauber,WORD,glat,glatt,glatt,glatt
48712,Haltung,WORD,Stolz,aufrecht,Posture,posture,Haltung,Posture
188482,Teufel,Hase,WORD,grinsen,gewieft,gewieft,gewieft,gewieft
227890,Hohn,Spott,WORD,Gemeinheit,Monbing,Mobbing,Hohn Keine passende Korrekturmöglichkeit gefunden. Spott,Mobbing
176659,nachdenken,sinnieren,WORD,verweilen,kontemplieren,kontemplieren,kontemplieren,kontemplieren
87112,Sauerkraut,WORD,saurr,Mittagessen,igitt,igitt,igitt,igitt
49067,Helmut,Schmidt,Kohl,WORD,Bundeskkanzler,Bundeskanzeler,Kohl,Bundeskanzler
88336,Vereinigte Staaten von Amerika,Russland,WORD,Waffe,Hot dog,Hot Dog,Hotdog,Hot dog
186540,Seminar,Uni,WORD,Workshop,Clinic,clinic,Workshop,Clinic
328595,hochheben,WORD,NA,NA,lüpfen,lüpfen,heben,hüpfen
12657,Norm,WORD,Form,Struktur,Gedetz,Gesetz,Gesetz,Gesetz
335523,Taschentuch,WORD,WEISS,Tempo,Scnupfen,Schnupfen,Schnupfen,Schnupfen
213777,Ewigkeit,Gott,Transzendenz,WORD,Zeitlichkeit,Zeitlichkeit,Ewigkeit,Zeitlichkeit
46713,Phase,Pubertät,Krankheit,WORD,Erwachsenwerden,Erwachsenwerden,Lebensphase,Erwachsenwerden
69826,Kreide,Tafel,WORD,weiß,Der Wold und die 7 Geißlein,Der Wolf und die 7 Geißlein,Der Wolf und die 7 Geisslein,Der Wolf und die 7 Geißlein
173166,Karotte,essen,orange,WORD,knackig,knackig,knackig,knackig
252195,Manager,WORD,Führungskraft,NA,Profitgeier,Profitgeier,Profitgeier,Profitgeier
28810,Kaiser,WORD,Krone,Thron,willhelm,Willhelm,Wilhelm,Wilhelm
167222,Schauspieler,WORD,NA,NA,brad pitt,Brad Pitt,Brad Pitt,Brad Pitt
288273,sachlich,Zeitungsartikel,Bewerbungsbrief,WORD,beobachten7ö,beobachten,Beobachtung,beobachten
150627,Sexualität,WORD,Fortpflanzung,Instinkt,Bedürfniss,Bedürfnis,Bedürfnis,Bedürfnis
384915,duschen,Wasser,WORD,nass,schampoo,Shampoo,Shampoo,Shampoo
124378,katastrophal,WORD,Tod,Unfall,Zunami,Tsunami,Tsunami,Tsunami
156873,Fleischer,WORD,"theke, käufer, Schürze","aspik, leber, lyoner","wur, blut, Darm metzger, Messer",Wurst,"Wurst, Blut, Darm, Metzger, Messer","Wurst, Blut, Darm, Metzger, Messer"
62823,praktisch,nutzvoll,brauchbar,WORD,anwendungsbezogen,anwendungsbezogen,anwendungsbezogen,anwendungsbezogen
139194,Zweifler,WORD,hinterfragen,Überzeugung,hinb,hin,Zweifel,hinterfragen
257413,ungesund,Alkohol,WORD,Drogen,Fast food,Fast Food,Fast Food,Fast food
317710,Haken,Fisch,Sache,WORD,hänken,hängen,hängen,Haken
380148,Zoo,Tycoon,WORD,Tierpark,Arche Wader,Arche Warder,Tierpark,Arche Wader
91376,katastrophal,Reportage,WORD,News,Sensationalisierung,Sensationalisierung,Sensationalisierung,Sensationalisierung
282743,Kranich,Großer grauer Vogel,Zugvogel,WORD,Teichfische-Dieb,Teichfische-Dieb,Kranich,Fischdieb
326875,verlässlich,ich,WORD,Freundin,Vetrauen,Vertrauen,Vertrauen,Vertrauen
105858,Verstand,Genie,WORD,Wahnsinn,phisik,Physik,Physik,Physik
97750,E-Gitarre,laut,Bass,WORD,Subwoover,Subwoofer,Subwoofer,Subwoofer
19459,deutlich,genau,WORD,spezifisch,eundeutig,eindeutig,deutlich,eindeutig
296226,Los Angeles,WORD,Hollywood,Schauspieler,amreika,Amerika,Amerika,Amerika
80006,Artikulation,Logopädie,WORD,Sigmatismus,Phonetik- Phonologie,Phonetik,Phonetik-Phonologie,Phonetik-Phonologie
121390,Lettland,WORD,Schnee,Lappen,Schüttelreime von Mike Krüger,Schüttelreime von Mike Krüger,Schüttelreime von Mike Krüger,Schüttelreime von Mike Krüger
846,Ursache,Grund,WORD,Wirkung,Prinzip (principium),Prinzip,Ursache,Prinzip (principium)
32313,sichtbar,unsichtbar,Tarnumhang,WORD,visible,visible,sichtbar,visible
224186,Zauber,WORD,trank,Spruch,Harry potter,Harry Potter,Harry Potter,Harry Potter
382701,Eleganz,Schön,WORD,NA,Stylisch,stylisch,Stylisch,Stylisch
57876,stellen,WORD,absetzen,NA,hinpflanzen,hinplanzen,hinsetzen,hinpflanzen
160901,Fahrer,Auto,Bus,WORD,chaffeur,Chauffeur,Chauffeur,Chauffeur
18774,Universität,Hochschule,Studium,WORD,Alma mater,Alma Mater,Alma Mater,Alma mater
389822,Spaß,WORD,Radfahren,Boarding,Urluab,Urlaub,Urlaub,Urlaub
334908,Abgeordnete,Politik,Bundestag,WORD,Politike,Politiker,Politik,Politik
219636,Pfanne,WORD,Herd,Hitze,esssen,essen,Essen,essen
339706,Tagebuch,Anne Franck,WORD,Menstruation,Diaryslam,Diary Slam,Tagebuch,Diary Slam
252444,Brötchen,Semmel,WORD,NA,Frühstpck,Frühstück,Frühstück,Frühstück
361457,Fläche,Furßballfeld,WORD,Ebene,Breite * Länge,Breite mal Länge,Fläche,Breite × Länge
