translatedText,text
money,geld
work,arbeit
music,musik
water,wasser
car,auto
school,schule
sport,sport
children,kinder
family,familie
love,liebe
policy,politik
old,alt
church,kirche
nice,schön
a house,haus
green,grün
important,wichtig
joy,freude
good,gut
child,kind
sea,meer
book,buch
friends,freunde
war,krieg
city,stadt
fear,angst
wood,holz
people,menschen
vacation,urlaub
man,mann
sun,sonne
loud,laut
time,zeit
woman,frau
fast,schnell
animal,tier
death,tod
summer,sommer
eat,essen
vegetables,gemüse
Germany,deutschland
help,hilfe
fun,spaß
cold,kalt
warm,warm
country,land
stress,stress
football,fußball
learn,lernen
court,gericht
nature,natur
computer,computer
dog,hund
life,leben
small,klein
winter,winter
physician,arzt
illness,krankheit
language,sprache
pain,schmerz
clothing,kleidung
alcohol,alkohol
tree,baum
paper,papier
police,polizei
bad,schlecht
film,film
forest,wald
sex,sex
tool,werkzeug
profession,beruf
person,mensch
name,name
boring,langweilig
religion,religion
mathematics,mathematik
university,universität
art,kunst
happiness,glück
freedom,freiheit
theater,theater
future,zukunft
parents,eltern
bird,vogel
large,groß
yummy,lecker
newspaper,zeitung
color,farbe
story,geschichte
danger,gefahr
train,zug
white,weiß
bed,bett
picture,bild
healthy,gesund
yellow,gelb
black,schwarz
expensive,teuer
quiet,ruhe
instrument,instrument
door,tür
garden,garten
mother,mutter
new,neu
street,straße
studies,studium
group,gruppe
hair,haare
chemistry,chemie
Internet,internet
flow,fluss
dark,dunkel
difficult,schwer
write,schreiben
relationship,beziehung
ship,schiff
science,wissenschaft
goal,ziel
letter,brief
sad,traurig
dispute,streit
God,gott
exactly,genau
mountain,berg
teacher,lehrer
king,könig
read,lesen
accident,unfall
free,frei
beer,bier
feeling,gefühl
might,macht
apartment,wohnung
success,erfolg
opinion,meinung
security,sicherheit
much,viel
fire,feuer
university,uni
metal,metall
protection,schutz
baby,baby
rain,regen
animals,tiere
glass,glas
math,mathe
end,ende
Africa,afrika
game,spiel
age,alter
force,gewalt
see,sehen
positive,positiv
strong,stark
make,machen
post,post
earth,erde
mistake,fehler
cozy,gemütlich
gift,geschenk
sick,krank
snow,schnee
idea,idee
boss,chef
order,ordnung
body,körper
heaven,himmel
head,kopf
stressful,anstrengend
bread,brot
ice,eis
number,zahl
clear,klar
blood,blut
granny,oma
night,nacht
law,gesetz
grief,trauer
blue,blau
jail,gefängnis
high,hoch
discussion,diskussion
friendship,freundschaft
light,licht
cake,kuchen
task,aufgabe
birthday,geburtstag
gold,gold
long,lang
electricity,strom
health,gesundheit
always,immer
responsibility,verantwortung
past,vergangenheit
around,rund
bicycle,fahrrad
flowers,blumen
company,gesellschaft
warmth,wärme
dangerous,gefährlich
run,laufen
air,luft
annoying,nervig
kitchen,küche
hometown,heimat
business,wirtschaft
USA,usa
friend,freund
clean,sauber
leisure time,freizeit
go,gehen
together,zusammen
childhood,kindheit
cook,kochen
sleep,schlafen
nice,nett
talk,reden
at home,zuhause
community,gemeinschaft
beach,strand
test,prüfung
books,bücher
hand,hand
gray,grau
state,staat
sweet,süß
party,party
think,denken
cat,katze
negative,negativ
fashion,mode
eyes,augen
cleaning,putzen
office,büro
soft,weich
horse,pferd
location,ort
milk,milch
word,wort
few,wenig
Switzerland,schweiz
knife,messer
face,gesicht
away,weg
mountains,berge
trip,reise
play,spielen
speak,sprechen
now,jetzt
wind,wind
table,tisch
perfomance,leistung
bank,bank
hospital,krankenhaus
fruit,obst
craft,handwerk
dumb,dumm
funny,lustig
brown,braun
military,militär
job,job
even,gleich
friendly,freundlich
holidays,ferien
Christmas,weihnachten
help,helfen
education,bildung
fury,wut
relaxation,entspannung
medicine,medizin
problem,problem
meat,fleisch
profit,gewinn
world,welt
conversation,gespräch
knowledge,wissen
beginning,anfang
airplane,flugzeug
broken,kaputt
men's suit,anzug
wet,nass
result,ergebnis
power,kraft
fish,fisch
drink,trinken
sofa,sofa
autumn,herbst
work,arbeiten
evil,böse
hard,hart
phone,telefon
shoes,schuhe
incorrect,falsch
correct,richtig
lettuce,salat
sharp,scharf
hot,heiß
solution,lösung
decision,entscheidung
pants,hose
mouth,mund
understand,verstehen
text,text
window,fenster
different,anders
person,person
democracy,demokratie
concert,konzert
lake,see
handyman,handwerker
furniture,möbel
before,ehe
research,forschung
odor,geruch
clever,schlau
noise,lärm
culture,kultur
boat,boot
soup,suppe
chair,stuhl
hammer,hammer
test,test
movement,bewegung
communication,kommunikation
orchestra,orchester
tired,müde
physics,physik
TV,fernsehen
Middle Ages,mittelalter
bright,hell
choice,wahl
plan,plan
secure,sicher
spring,frühling
weight,gewicht
father,vater
Russia,russland
dirt,dreck
Europe,europa
alone,allein
garbage,müll
crowd,menge
wedding,hochzeit
border,grenze
company,firma
pains,schmerzen
old-fashioned,altmodisch
France,frankreich
brain,gehirn
rarely,selten
poverty,armut
Berlin,berlin
rich,reich
glasses,brille
laugh,lachen
drive,fahren
material,stoff
mean,gemein
ball,ball
weather,wetter
German,deutsch
together,gemeinsam
have,haben
unsure,unsicher
fairy tale,märchen
do,tun
simply,einfach
day,tag
team,team
particularly,besonders
foot,fuß
advertising,werbung
give,geben
stone,stein
cell phone,handy
party,partei
clock,uhr
courage,mut
environment,umwelt
dresses,kleider
thick,dick
thoughts,gedanken
battle,kampf
cow,kuh
right,recht
eye,auge
connection,verbindung
open,offen
America,amerika
believe,glaube
coffee,kaffee
young,jung
injury,verletzung
judge,richter
closely,eng
Bavaria,bayern
quiet,ruhig
hope,hoffnung
interesting,interessant
penalty,strafe
heart,herz
Jesus,jesus
many,viele
field,feld
circle,kreis
flower,blume
shopping,einkaufen
heat,hitze
red,rot
partner,partner
explanation,erklärung
technology,technik
wait,warten
women,frauen
buy,kaufen
explain,erklären
tea,tee
pleasant,angenehm
murder,mord
happy,glücklich
light,leicht
Italy,italien
reason,grund
appointment,termin
social,sozial
traffic,verkehr
information,information
oil,öl
build,bauen
full,voll
England,england
drugs,drogen
hunger,hunger
energy,energie
girl,mädchen
finger,finger
colors,farben
duty,pflicht
change,veränderung
great,toll
grades,noten
seek,suchen
slow,langsam
crime,verbrechen
boredom,langeweile
complete,fertig
piano,klavier
nose,nase
memory,erinnerung
government,regierung
restaurant,restaurant
loss,verlust
sand,sand
short,kurz
contract,vertrag
space,raum
package,paket
Bible,bibel
east,osten
grandpa,opa
building,gebäude
month,monat
support,unterstützung
progress,fortschritt
lock,schloss
cinema,kino
character,charakter
a dress,kleid
peace,frieden
diploma,abschluss
sit,sitzen
farmer,bauer
hat,hut
dream,traum
direction,richtung
effort,anstrengung
construction site,baustelle
cheese,käse
biology,biologie
necessary,notwendig
be,sein
government office,amt
far,weit
pen,stift
answer,antwort
straight,gerade
unnecessary,unnötig
caution,vorsicht
floor,boden
ask,frage
intelligence,intelligenz
beverage,getränk
regulate,regeln
more,mehr
grammar,grammatik
news,nachrichten
meadow,wiese
Austria,österreich
